name,nationality,fastestLapTime
"BMW Sauber",German,01:18.0
Caterham,Malaysian,01:18.1
Caterham,Malaysian,01:18.1
"Toro Rosso",Italian,01:18.1
Sauber,Swiss,01:18.1
"Red Bull",Austrian,01:18.1
McLaren,British,01:18.1
McLaren,British,01:18.1
Williams,British,01:18.1
Toyota,Japanese,01:18.1
"Red Bull",Austrian,01:18.1
Renault,French,01:18.1
Jordan,Irish,01:18.1
Williams,British,01:18.1
Spyker,Dutch,01:18.1
Mercedes,German,01:18.1
McLaren,British,01:18.1
"Red Bull",Austrian,01:18.1
Williams,British,01:18.1
"Red Bull",Austrian,01:18.2
Renault,French,01:18.2
MF1,Russian,01:18.2
Renault,French,01:18.2
"Toro Rosso",Italian,01:18.2
Renault,French,01:18.2
"Force India",Indian,01:18.2
Ferrari,Italian,01:18.2
"Force India",Indian,01:18.2
"Force India",Indian,01:18.2
"Toro Rosso",Italian,01:18.2
Virgin,British,01:18.2
Jordan,Irish,01:18.2
Honda,Japanese,01:18.3
Ferrari,Italian,01:18.3
"Force India",Indian,01:18.3
Jordan,Irish,01:18.3
"Red Bull",Austrian,01:18.3
Mercedes,German,01:18.3
"Toro Rosso",Italian,01:18.3
"Manor Marussia",British,01:18.3
"Red Bull",Austrian,01:18.3
Renault,French,01:18.3
Sauber,Swiss,01:18.3
Williams,British,01:18.3
"Toro Rosso",Italian,01:18.3
Williams,British,01:18.3
Minardi,Italian,01:18.4
Mercedes,German,01:18.4
Minardi,Italian,01:18.4
Caterham,Malaysian,01:18.4
"Red Bull",Austrian,01:18.4
Ferrari,Italian,01:18.4
Renault,French,01:18.4
Williams,British,01:18.4
"Force India",Indian,01:18.4
"Red Bull",Austrian,01:18.4
"Lotus F1",British,01:18.4
Lotus,Malaysian,01:18.4
"Force India",Indian,01:18.4
McLaren,British,01:18.5
"Toro Rosso",Italian,01:18.5
McLaren,British,01:18.5
Williams,British,01:18.5
Ferrari,Italian,01:18.5
"Red Bull",Austrian,01:18.5
"Toro Rosso",Italian,01:18.5
"Toro Rosso",Italian,01:18.5
Ferrari,Italian,01:18.5
Williams,British,01:18.5
"Force India",Indian,01:18.5
Minardi,Italian,01:18.5
Honda,Japanese,01:18.5
Renault,French,01:18.5
Toyota,Japanese,01:18.5
Honda,Japanese,01:18.5
McLaren,British,01:18.5
"Toro Rosso",Italian,01:18.5
"Force India",Indian,01:18.6
Mercedes,German,01:18.6
"Red Bull",Austrian,01:18.6
"Toro Rosso",Italian,01:18.6
Ferrari,Italian,01:18.6
Jordan,Irish,01:18.6
Williams,British,01:18.6
"Toro Rosso",Italian,01:18.6
Ferrari,Italian,01:18.6
"Manor Marussia",British,01:18.6
Lotus,Malaysian,01:18.6
Jaguar,British,01:18.6
"Toro Rosso",Italian,01:18.6
"Toro Rosso",Italian,01:18.6
Toyota,Japanese,01:18.6
Minardi,Italian,01:18.7
Mercedes,German,01:18.7
